dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_pymfe_attr_conc.mean,mf_pymfe_attr_ent.mean,mf_pymfe_attr_to_inst,mf_pymfe_cat_to_num,mf_pymfe_class_conc.mean,mf_pymfe_class_ent,mf_pymfe_eq_num_attr,mf_pymfe_freq_class.mean,mf_pymfe_inst_to_attr,mf_pymfe_joint_ent.mean,mf_pymfe_mut_inf.mean,mf_pymfe_nr_attr,mf_pymfe_nr_bin,mf_pymfe_nr_cat,mf_pymfe_nr_class,mf_pymfe_nr_inst,mf_pymfe_nr_num,mf_pymfe_ns_ratio,mf_pymfe_num_to_cat
31,creditg,1000,20,random_forest,0.015925932914132485,1.6539835401904466,0.02,1.8571428571428572,0.008086880779137742,0.8812908992306927,53.24924017248538,0.5,50.0,2.518724139428576,0.01655029999256342,20.0,3.0,13.0,2.0,1000.0,7.0,98.93677099107775,0.5384615384615384
33,33,540,39,random_forest,0.09632361596478148,2.000222702111056,0.07222222222222222,0.625,0.05986410344434413,0.9824740868386409,13.731108064022154,0.5,13.846153846153847,2.911145819992363,0.07155096895733351,39.0,1.0,15.0,2.0,540.0,24.0,26.955214740750844,1.6
34,postoperativepatientdata,90,8,knn,0.018078323631814136,1.0645141489545495,0.08888888888888889,7.0,0.011887526415060624,0.9803075405818109,57.88448706838228,0.3333333333333333,11.25,2.0278861064426774,0.016935583093683065,8.0,2.0,7.0,3.0,90.0,1.0,61.856657669591016,0.14285714285714285
35,dermatology,366,34,random_forest,0.11898465445469797,1.1841884411200383,0.09289617486338798,0.0,0.4186989879465414,2.432597273889607,5.595496003360095,0.16666666666666666,10.764705882352942,3.18204368813145,0.43474202687819496,34.0,1.0,0.0,6.0,366.0,34.0,1.7238876572929573,0.0
37,diabetes,768,8,random_forest,0.02884043879647566,2.958105757854844,0.010416666666666666,0.0,0.012489816958077828,0.9331343166407832,12.954877983803813,0.5,96.0,3.819210502483649,0.07202957201197785,8.0,0.0,0.0,2.0,768.0,8.0,40.06793467220572,0.0
39,ecoli,336,7,knn,0.04676261379505285,1.8753794109758803,0.020833333333333332,0.0,0.2917763983844141,2.1887455831912255,4.5188794450455525,0.125,48.0,3.57976916883281,0.4843558253342963,7.0,2.0,0.0,8.0,336.0,7.0,2.8719043167933767,0.0
40,sonar,208,60,random_forest,0.04068008654531494,2.321727773988792,0.28846153846153844,0.0,0.017159763836213034,0.9967295890208366,19.482238313578623,0.5,3.466666666666667,3.2672964248782974,0.051160938131330706,60.0,0.0,0.0,2.0,208.0,60.0,44.380867880664944,0.0
41,glass,214,9,random_forest,0.08646069983674641,2.0168573913192267,0.04205607476635514,0.0,0.17215668455304825,2.1765339923982006,6.175966711718478,0.16666666666666663,23.77777777777778,3.840971415476929,0.3524199682404983,9.0,0.0,0.0,6.0,214.0,9.0,4.7228805773652525,0.0
43,haberman,306,3,logreg,0.013718040764317806,2.409563246320309,0.00980392156862745,0.0,0.018076855093393737,0.833764907210665,18.821473436985052,0.5,102.0,3.199029554380268,0.044298599150706185,3.0,0.0,0.0,2.0,306.0,3.0,53.393666899552436,0.0
48,tae,151,5,random_forest,0.22089174753768562,1.2794393477715331,0.033112582781456956,0.0,0.21463532354455445,1.5845209168501238,51.194343374607335,0.3333333333333333,30.2,2.833009170957742,0.03095109366391551,5.0,2.0,0.0,3.0,151.0,5.0,40.337451970660865,0.0
49,heartc,303,13,knn,0.031273760574064495,1.6949270921777608,0.0429042904290429,1.1666666666666667,0.08059721275037166,0.9942646092619051,9.689261473177543,0.5,23.307692307692307,2.5865765937749288,0.10261510766473733,13.0,3.0,7.0,2.0,303.0,6.0,15.51732508740724,0.8571428571428571
50,tictactoe,958,9,random_forest,0.014676385455383726,1.538036541386586,0.009394572025052192,0.0,0.015851264089481884,0.9309539862507962,49.45065367023513,0.5,106.44444444444444,2.4501646089253883,0.018825918711993635,9.0,0.0,9.0,2.0,958.0,0.0,80.69782122806745,0.0
51,hearth,294,13,logreg,0.08975002030547387,1.3786074181104075,0.04421768707482993,1.1666666666666667,0.12573270901008846,0.9431340036829803,9.442092794620818,0.5,22.615384615384617,2.221855302879127,0.09988611891426082,13.0,1.0,7.0,2.0,294.0,6.0,12.801791811470439,0.8571428571428571
53,heartstatlog,270,13,logreg,0.03871490649503225,1.6467194570283366,0.04814814814814815,0.0,0.0827464198731635,0.9910760598382222,10.038572325929819,0.5,20.76923076923077,2.5390687230894944,0.09872679377706474,13.0,3.0,0.0,2.0,270.0,13.0,15.67955976314595,0.0
54,vehicle,846,18,logreg,0.09928984441892365,3.0929297541798166,0.02127659574468085,0.0,0.0452609441350749,1.999066765534363,7.738272393698158,0.25,47.0,4.833661498170825,0.258335021543355,18.0,0.0,0.0,4.0,846.0,18.0,10.972553065789985,0.0
55,hepatitis,155,19,logreg,0.042516036400774566,1.2716184119905043,0.12258064516129032,2.1666666666666665,0.05603264453346958,0.7346451526501955,11.619680528521474,0.5,8.157894736842104,1.9430393519915703,0.06322421264912988,19.0,3.0,13.0,2.0,155.0,6.0,19.11283903284804,0.46153846153846156
56,vote,435,16,random_forest,0.17077849018050656,1.200064007752694,0.0367816091954023,0.0,0.2732556459932217,0.9623080486960708,3.7654280546318204,0.5,27.1875,1.9068080051021075,0.2555640513466574,16.0,0.0,16.0,2.0,435.0,0.0,3.6957465317564515,0.0
59,ionosphere,351,34,random_forest,0.1271949895089402,2.504028746384419,0.09686609686609686,0.0,0.06790793627186943,0.9418285354475157,5.8844956676236615,0.5,10.323529411764707,3.285804732107168,0.1600525497247676,34.0,1.0,0.0,2.0,351.0,34.0,14.645041273571968,0.0
61,iris,150,4,knn,0.20922243392447845,2.279010448380773,0.02666666666666667,0.0,0.2723259420428617,1.584962500721156,1.8824081456478547,0.3333333333333333,37.5,3.0219863138519676,0.8419866352499612,4.0,0.0,0.0,3.0,150.0,4.0,1.7067062028890772,0.0
