model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std
random_forest,0.4333333333333333,0.08164965809277261,0.34444444444444444,0.07370277311900887
dummy_most_frequent,0.5,0.0,0.3333333333333333,0.0
logreg,0.4,0.13333333333333333,0.3333333333333333,0.11653431646335018
knn,0.3,0.12472191289246472,0.2444444444444444,0.12957670877434002
