dataset_id,dataset_name,best_algorithm,score_logreg,score_knn,score_random_forest
1,1,random_forest,0.6935401459854015,0.6066956765861875,0.8735401459854014
4,labor,logreg,1.0,0.7083333333333333,1.0
8,8,random_forest,0.7151515151515151,0.6272727272727273,0.7522727272727273
9,autos,random_forest,0.606547619047619,0.43184523809523806,0.8291666666666666
10,lymph,logreg,0.8827777777777778,0.6427777777777778,0.6466666666666666
11,balancescale,knn,0.6265060240963854,0.6703958691910499,0.6024096385542169
13,breastcancer,random_forest,0.5403846153846154,0.5352564102564102,0.6365384615384615
15,breastw,knn,0.9550300710770913,0.9630945872061236,0.9550300710770913
17,17,random_forest,0.5476190476190476,0.5833333333333334,0.613095238095238
18,18,logreg,0.7388888888888887,0.7,0.6833333333333332
19,19,random_forest,0.5178571428571429,0.5833333333333334,0.6249999999999999
21,21,random_forest,0.2867063492063492,0.4657738095238095,0.7700396825396825
23,cmc,random_forest,0.4603509524831318,0.45614456354031496,0.4652078841693319
25,colic,random_forest,0.8229965156794425,0.8036585365853659,0.8789198606271778
27,colic,logreg,0.851567944250871,0.7590592334494775,0.8048780487804879
29,creditapproval,knn,0.8625,0.865,0.865
31,creditg,logreg,0.5925925925925926,0.5899470899470899,0.5912698412698413
33,33,random_forest,0.7392052565707135,0.7237171464330413,0.821026282853567
34,postoperativepatientdata,knn,0.3157894736842105,0.3157894736842105,0.2982456140350877
35,dermatology,random_forest,0.9627946127946129,0.9190037631214102,0.9703703703703703
37,diabetes,logreg,0.7118437118437119,0.641025641025641,0.681929181929182
39,ecoli,knn,0.6619565217391304,0.6619565217391304,0.6098731884057971
40,sonar,random_forest,0.7444219066937119,0.7221095334685599,0.8154158215010142
41,glass,random_forest,0.6398378191856452,0.5242753623188406,0.8055383022774327
43,haberman,logreg,0.5110294117647058,0.4963235294117647,0.4963235294117647
48,tae,random_forest,0.48055555555555557,0.5444444444444444,0.6486111111111111
49,heartc,knn,0.8502439024390245,0.862439024390244,0.8202439024390245
50,tictactoe,random_forest,0.6082558775287041,0.6723619464188081,0.9193548387096775
51,hearth,logreg,0.831140350877193,0.7735745614035088,0.8048245614035088
53,heartstatlog,logreg,0.8833333333333333,0.8444444444444444,0.8666666666666667
