dataset_id,dataset_name,best_algorithm,score_logreg,score_knn,score_random_forest
1,1,random_forest,0.82042071197411,0.6075080906148866,0.9990291262135923
4,labor,logreg,1.0,0.7083333333333333,1.0
8,8,random_forest,0.7151515151515151,0.6272727272727273,0.7522727272727273
9,autos,random_forest,0.606547619047619,0.43184523809523806,0.8291666666666666
10,lymph,logreg,0.8827777777777778,0.6427777777777778,0.6466666666666666
11,balancescale,logreg,0.628129733582821,0.6164127238706228,0.5973001871157445
13,breastcancer,random_forest,0.5403846153846154,0.5352564102564102,0.6365384615384615
15,breastw,random_forest,0.9541062801932367,0.9471618357487923,0.9610507246376812
17,17,random_forest,0.5476190476190476,0.5833333333333334,0.613095238095238
18,18,knn,0.725,0.725,0.7111111111111111
19,19,random_forest,0.5178571428571429,0.5833333333333334,0.6249999999999999
21,21,random_forest,0.3608134920634921,0.6304067460317461,0.8711309523809524
23,cmc,random_forest,0.46632718721607613,0.44964459408903856,0.5032150072150072
25,colic,random_forest,0.8229965156794425,0.8036585365853659,0.8789198606271778
27,colic,logreg,0.851567944250871,0.7590592334494775,0.8048780487804879
29,creditapproval,random_forest,0.8402173913043478,0.8195652173913044,0.857608695652174
31,creditg,random_forest,0.607936507936508,0.6,0.6341269841269841
33,33,random_forest,0.7392052565707135,0.7237171464330413,0.821026282853567
34,postoperativepatientdata,knn,0.3157894736842105,0.3157894736842105,0.2982456140350877
35,dermatology,random_forest,0.9627946127946129,0.9190037631214102,0.9703703703703703
37,diabetes,random_forest,0.6925925925925926,0.6987654320987655,0.7177777777777778
39,ecoli,knn,0.6619565217391304,0.6619565217391304,0.6098731884057971
40,sonar,random_forest,0.7444219066937119,0.7221095334685599,0.8154158215010142
41,glass,random_forest,0.6398378191856452,0.5242753623188406,0.8055383022774327
43,haberman,logreg,0.5110294117647058,0.4963235294117647,0.4963235294117647
48,tae,random_forest,0.48055555555555557,0.5444444444444444,0.6486111111111111
49,heartc,knn,0.8502439024390245,0.862439024390244,0.8202439024390245
50,tictactoe,random_forest,0.5821276595744681,0.7570212765957447,0.9
51,hearth,logreg,0.831140350877193,0.7735745614035088,0.8048245614035088
53,heartstatlog,logreg,0.8833333333333333,0.8444444444444444,0.8666666666666667
54,vehicle,logreg,0.8204727564102565,0.7455128205128205,0.7625801282051282
55,hepatitis,logreg,0.7959459459459459,0.7364864864864865,0.672972972972973
56,vote,random_forest,0.9643382352941177,0.9616421568627451,0.9741421568627451
59,ionosphere,random_forest,0.8742260061919505,0.8026315789473684,0.9121517027863777
61,iris,knn,0.9111111111111111,0.9333333333333332,0.8888888888888888
62,zoo,logreg,0.9285714285714286,0.6190476190476192,0.9285714285714286
164,molecularbiologypromoters,random_forest,0.96875,0.84375,1.0
173,173,random_forest,0.542670011148272,0.5224080267558527,0.566796729840208
174,174,logreg,0.6417024865300727,0.5474871552457758,0.6060680220162978
181,yeast,logreg,0.6208404072803353,0.6124320261259665,0.5319683648684699
185,baseball,logreg,0.6659191301393137,0.5450900441726131,0.5625891946992865
187,wine,random_forest,0.9841269841269842,0.9523809523809524,1.0
188,eucalyptus,random_forest,0.6087339743589744,0.5817574786324786,0.6517004985754985
194,cleveland,logreg,0.33948488486303613,0.24304921968787516,0.23588344428680563
205,sleep,random_forest,0.5,0.5166666666666666,0.6
231,hungarian,knn,0.8048245614035088,0.8536184210526316,0.7735745614035088
275,metaallarff,random_forest,0.4743589743589744,0.2222222222222222,0.6666666666666666
276,metabatchincrementalarff,logreg,0.3,0.2833333333333333,0.2833333333333333
277,metaensemblesarff,logreg,0.5654761904761905,0.3125,0.5208333333333334
278,metainstanceincrementalarff,random_forest,0.6102941176470589,0.5269607843137255,0.625
285,flags,random_forest,0.3145517676767677,0.2061237373737374,0.4194760101010101
307,307,random_forest,0.6599326599326599,0.7777777777777778,0.9461279461279464
327,bridges,random_forest,0.5476190476190476,0.5833333333333334,0.613095238095238
328,bridges,random_forest,0.5178571428571429,0.5833333333333334,0.6249999999999999
329,hayesroth,random_forest,0.526608187134503,0.42378167641325537,0.8447368421052631
333,monksproblems,random_forest,0.6285140562248996,0.7662076878944348,0.9939759036144578
334,monksproblems,random_forest,0.46638655462184875,0.7963540254811603,0.905733261046354
335,monksproblems,random_forest,0.8257902298850575,0.927514367816092,0.9880028735632185
336,SPECT,logreg,0.7412683823529411,0.7196691176470589,0.7118566176470589
337,SPECTF,random_forest,0.7568058076225046,0.6631125226860254,0.8702359346642468
338,grubdamage,logreg,0.5607142857142857,0.4226190476190476,0.4619047619047619
340,squashstored,random_forest,0.6746031746031745,0.5079365079365079,0.7301587301587301
342,squashunstored,random_forest,0.5357142857142857,0.5297619047619048,0.5714285714285715
345,345,logreg,0.6666666666666666,0.3333333333333333,0.6666666666666666
444,analcatdataboxing,random_forest,0.6287878787878788,0.7146464646464648,0.7702020202020202
446,prnncrabs,logreg,0.9666666666666667,0.8666666666666667,0.9333333333333333
448,analcatdataboxing,random_forest,0.5284280936454849,0.5016722408026756,0.5886287625418061
449,analcatdatahomerun,random_forest,0.21935483870967742,0.24247311827956988,0.2752688172043011
450,analcatdatalawsuit,random_forest,0.9166666666666667,0.8333333333333333,0.9932432432432432
451,irish,random_forest,0.7557993166696637,0.9489300485524186,1.0
452,analcatdatabroadwaymult,random_forest,0.15555555555555553,0.16984126984126985,0.36428571428571427
454,analcatdatahalloffame,logreg,0.6659191301393137,0.5450900441726131,0.5625891946992865
455,cars,random_forest,0.6706539074960127,0.6505847953216374,0.8971956406166933
