dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_basic_n_samples,mf_basic_n_features,mf_basic_n_numeric,mf_basic_n_categorical,mf_basic_n_classes,mf_basic_missing_ratio,mf_stat_num_mean_abs,mf_stat_num_std_mean,mf_stat_num_skew_abs_mean,mf_stat_num_kurt_mean,mf_stat_abs_corr_mean,mf_stat_target_entropy,mf_struct_samples_per_feature,mf_struct_cat_to_num_ratio,mf_struct_class_imbalance,mf_struct_mean_unique_ratio,mf_struct_zero_ratio_numeric,mf_struct_avg_cat_cardinality
35,dermatology,366,34,random_forest,366.0,34.0,34.0,0.0,6.0,0.0006428801028608164,1.7884924461587914,1.256203056496781,1.4888300170298707,2.5015434996266452,0.22822839201147063,2.4325972738809507,10.764705882352942,0.0,5.6,0.01518804243008679,0.5962712954034073,0.0
37,diabetes,768,8,random_forest,768.0,8.0,8.0,0.0,2.0,0.0,44.98579117838541,25.733742975451573,1.0973935218896975,2.7753623954423947,0.1716567889709266,0.9331343166378978,96.0,0.0,1.8656716417910448,0.2041015625,0.12418619791666667,0.0
39,ecoli,336,7,knn,336.0,7.0,7.0,0.0,8.0,0.0,0.49956632653061234,0.14372869668428684,3.6529169593008155,51.976030830189856,0.18400046669721387,2.1887455831796836,48.0,0.0,71.5,0.15433673469387754,0.0017006802721088435,0.0
40,sonar,208,60,random_forest,208.0,60.0,60.0,0.0,2.0,0.0,0.2813212900641026,0.14223782700500703,1.1437112486709375,2.2767766937181766,0.2647993883054989,0.9967295890179513,3.466666666666667,0.0,1.1443298969072164,0.9019230769230769,0.0007211538461538462,0.0
41,glass,214,9,random_forest,214.0,9.0,9.0,0.0,6.0,0.0,11.265851609553478,0.6895407776407763,2.0710402859849895,9.908544271023604,0.2276984293823725,2.1765339923895444,23.77777777777778,0.0,8.444444444444445,0.4875389408099688,0.2035306334371755,0.0
43,haberman,306,3,logreg,306.0,3.0,3.0,0.0,2.0,0.0,39.77886710239651,7.080836839591895,1.069694273686161,3.340886065627782,0.05215667405086785,0.8337649072077796,102.0,0.0,2.7777777777777777,0.10021786492374728,0.14814814814814814,0.0
48,tae,151,5,random_forest,151.0,5.0,5.0,0.0,3.0,0.0,10.654304635761589,5.499840201625443,0.9821371202395648,0.06846993038188871,0.17194460480745874,1.5845209168457957,30.2,0.0,1.0612244897959184,0.1337748344370861,0.0,0.0
49,heartc,303,13,knn,303.0,13.0,6.0,7.0,2.0,0.0017771007870017769,97.26732673267327,17.241934398417033,0.8459255183722107,1.1189570179332673,0.20264622920748787,0.9942646092590195,23.307692307692307,1.1666666666666667,1.1956521739130435,0.10053313023610054,0.15346534653465346,2.7142857142857144
50,tictactoe,958,9,random_forest,958.0,9.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9309539862479106,106.44444444444444,9.0,1.8855421686746987,0.003131524008350731,0.0,3.0
51,hearth,294,13,logreg,294.0,13.0,6.0,7.0,2.0,0.20460491889063318,95.05912698412699,19.14155454448952,0.6966375439418776,1.1960611449460097,0.1970733805102593,0.9431340036800949,22.615384615384617,1.1666666666666667,1.7735849056603774,0.08451072736787021,0.27380952380952384,2.7142857142857144
53,heartstatlog,270,13,logreg,270.0,13.0,13.0,0.0,2.0,0.0,46.03603988603989,8.439216804342829,0.7931025796089585,0.11514511097134256,0.1575256396387435,0.9910760598353369,20.76923076923077,0.0,1.25,0.10940170940170939,0.249002849002849,0.0
54,vehicle,846,18,logreg,846.0,18.0,18.0,0.0,4.0,0.0,117.63494877856581,22.770839172096302,1.0667267595100336,5.1531405165147595,0.4070565349191195,1.9990667655285925,47.0,0.0,1.0954773869346734,0.09390596270028893,0.0070265300761754666,0.0
55,hepatitis,155,19,logreg,155.0,19.0,6.0,13.0,2.0,0.05670628183361631,49.104623655913976,27.8745385621276,1.4237300782680171,5.262817938382517,0.18754366467909772,0.7346451526473101,8.157894736842104,2.1666666666666665,3.84375,0.11850594227504244,0.001075268817204301,2.0
56,vote,435,16,random_forest,435.0,16.0,0.0,16.0,2.0,0.056321839080459776,0.0,0.0,0.0,0.0,0.0,0.9623080486931854,27.1875,16.0,1.5892857142857142,0.004597701149425287,0.0,2.0
59,ionosphere,351,34,random_forest,351.0,34.0,34.0,0.0,2.0,0.0,0.262842444276856,0.5104205012204398,0.597263342919683,0.3505061194474793,0.230562077777909,0.9418285354446302,10.323529411764707,0.0,1.7857142857142858,0.6827551533433887,0.11907156024803084,0.0
61,iris,150,4,knn,150.0,4.0,4.0,0.0,3.0,0.0,3.4636666666666667,0.9473104002482852,0.2571061083567424,-0.7507394876837397,0.5898157206151017,1.584962500716828,37.5,0.0,1.0,0.20500000000000002,0.0,0.0
62,zoo,101,17,logreg,101.0,17.0,1.0,16.0,7.0,0.0,2.8415841584158414,2.033384731266205,0.13942710182441184,-0.5986300839021887,0.0,2.39055968228394,5.9411764705882355,16.0,10.25,0.07920792079207921,0.22772277227722773,8.125
164,molecularbiologypromoters,106,58,random_forest,106.0,58.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999971146,1.8275862068965518,58.0,1.0,0.05432661027976578,0.0,5.758620689655173
173,173,323,12,random_forest,323.0,12.0,10.0,2.0,6.0,0.0,1.1207430340557276,0.38652337734603953,3.1628201558192073,13.128561374122176,0.13924678169184096,2.321709379348279,26.916666666666668,0.2,11.0,0.008771929824561405,0.27678018575851393,5.0
174,174,1066,12,logreg,1066.0,12.0,10.0,2.0,6.0,0.0,1.027204502814259,0.3505752169006917,4.7470275768072225,53.309566114068204,0.14208147472528426,2.3619559539771804,88.83333333333333,0.2,7.6976744186046515,0.0032833020637898693,0.2790806754221388,5.0
181,yeast,1200,8,logreg,1200.0,8.0,8.0,0.0,10.0,0.0,0.3807916666666667,0.09723368977122662,3.306331234552794,26.113907137716954,0.08541166878107552,2.4883045074583037,150.0,0.0,93.75,0.041875,0.12395833333333334,0.0
185,baseball,1200,17,logreg,1200.0,17.0,15.0,2.0,3.0,0.000931372549019608,640.6634237222223,324.4438826766734,1.110118947554221,2.21942066359082,0.5569216783591289,0.5402951560646766,70.58823529411765,0.13333333333333333,21.333333333333332,0.4200490196078432,0.00044444444444444447,603.0
187,wine,178,13,random_forest,178.0,13.0,13.0,0.0,3.0,0.0,69.13366292091617,26.17778523132608,0.4325480594191304,0.006742802303922042,0.30495748135034884,1.566822276850853,13.692307692307692,0.0,1.4791666666666667,0.5514261019878999,0.0,0.0
188,eucalyptus,736,19,random_forest,736.0,19.0,14.0,5.0,5.0,0.032036613272311214,390.7347362189441,172.24149396096155,2.972705737787965,63.08601965476917,0.13451031786636858,2.262083620421061,38.73684210526316,0.35714285714285715,2.038095238095238,0.10848112128146453,0.0007763975155279503,15.4
194,cleveland,303,13,logreg,303.0,13.0,13.0,0.0,5.0,0.0015232292460015233,45.82762122366083,8.399136797335606,0.7843862625348099,0.06396908682919651,0.15717778537597876,1.8459421848450996,23.307692307692307,0.0,12.615384615384615,0.10078700177710079,0.25107895404925107,0.0
205,sleep,62,7,random_forest,62.0,7.0,7.0,0.0,5.0,0.027649769585253454,93.65391474654378,285.34075924522284,2.3802782589924583,11.285391485321083,0.4341384594366629,2.2609466559447804,8.857142857142858,0.0,2.111111111111111,0.619815668202765,0.0,0.0
231,hungarian,294,13,knn,294.0,13.0,13.0,0.0,2.0,0.20460491889063318,44.813788592360034,9.08794990193353,1.5422937835278654,4.831387766394574,0.1269428560279028,0.9431340036800949,22.615384615384617,0.0,1.7735849056603774,0.08451072736787021,0.3346415489272632,0.0
275,metaallarff,71,62,random_forest,71.0,62.0,62.0,0.0,6.0,0.0,57.02229259791003,315.431810944361,2.24474933732901,12.940151590398303,0.26220086183802943,1.7870659855440283,1.1451612903225807,0.0,21.0,0.6417537482962289,0.20672421626533394,0.0
